cci,po,organismo_intermedio,coste_total,ayuda_fse,fund_type,currency,uri
2007ES051PO002,PO FSE CASTILLA LA MANCHA,Servicio Público de Empleo (SEPECAM). Consejería de Trabajo y Empleo (Junta de Comunidades de Castilla- La Mancha),30.250.922,24.265.986,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES051PO003,PO FSE EXTREMADURA,D.G. de Financiación Autonómica y Fondos Europeos. Consejería de Administración Pública y Hacienda (Junta de Extremadura),44.852.707,33.639.530,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES051PO004,PO FSE GALICIA,D.G. de Planificación Económica y Fondos Comunitarios. Consejería de Economía y Hacienda (Junta de Galicia),60.278.475,48.222.780,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES051PO005,PO FSE ANDALUCÍA,D.G. de Fondos Europeos. Consejería de Economía y Hacienda (Junta de Andalucía),194.328.833,155.463.066,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES051PO006,PO FSE ASTURIAS,Gobierno del Principado de Asturias,29.999.161,23.999.329,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES051PO007,PO FSE CEUTA,Procesa (Ciudad Autónoma de Ceuta),3.050.789,2.440.631,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES051PO008,PO FSE MELILLA,D.G. de Fondos Europeos. Consejería de Presidencia y Gobernación (Ciudad Autónoma de Melilla),2.283.848,1.712.886,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES051PO009,PO FSE MURCIA,"D.G. de Economía y Planificación. Consejería de Economía, Empresa e Innovación (Comunidad Autónoma de Murcia )",22.545.013,18.036.010,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES052PO001,PO FSE CANARIAS,D.G. de Planificación y Presupuesto. Consejería de Economia y Hacienda (Gobierno de Canarias),39.668.847,33.718.520,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES052PO002,PO FSE CASTILLA Y LEÓN,D.G. de Presupuestos y Fondos Comunitarios. Consejería de Hacienda (Junta de Castilla y León),45.017.524,36.014.019,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES052PO003,PO FSE COMUNIDAD VALENCIANA,"D.G. de Economía. Secretaría Autonómica de Economía y Presupuestos. Consejería de Economía, Hacienda y Empleo (Generalidad Valenciana )",114.055.818,57.027.909,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES052PO004,PO FSE ARAGÓN,"D.G. de Promoción Económica. Departamento de Economía, Hacienda y Empleo (Gobierno de Aragón)",20.048.566,10.024.283,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES052PO005,PO FSE BALEARES,"D.G. de Políticas Activas, Ocupación y Formación. C. Trabajo y Formación (Gobierno Islas Baleares)",10.419.850,5.209.925,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES052PO006,PO FSE CANTABRIA,Servicio Cántabro de Empleo (EMCAN). Consejería de Empleo y Bienestar Social (Comunidad Autónoma de Cantabria),3.412.332,1.706.166,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES052PO007,PO FSE CATALUÑA,Servicio de Ocupación de Cataluña (SOC). Departamento de Trabajo (Generalidad de Cataluña),76.594.214,38.297.107,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES052PO008,PO FSE MADRID,D.G. de Asuntos Europeos. Consejería de Justicia y Administraciones Públicas (Comunidad Autónoma de Madrid),69.113.056,34.556.528,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES052PO009,PO FSE NAVARRA,D.G. de Desarrollo Internacional (Gobierno Foral de Navarra),5.169.286,2.584.643,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES052PO010,PO FSE PAIS VASCO,"D. de Empleo y Formación. Departamento de Justicia, Empleo y Seguridad Social (Gobierno del País Vasco)",16.438.650,8.219.325,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES052PO011,PO FSE LA RIOJA,"Servicio Riojano de Empleo. Consejería de Industria, Innovación y Empleo (Gobierno de La Rioja)",3.748.422,1.874.211,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO001,PO FSE ADAPTABILIDAD Y EMPLEO,D.G. de Formación Profesional (MEPSYD),20.398.513,14.162.194,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO001,PO FSE ADAPTABILIDAD Y EMPLEO,Servicio Público de Empleo Estatal (MTIN),763.111.818,564.026.602,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO001,PO FSE ADAPTABILIDAD Y EMPLEO,D.G. de Cooperación Local. S.E. de Cooperación Territorial (MAP),48.137.613,36.541.042,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO001,PO FSE ADAPTABILIDAD Y EMPLEO,D.G. de Desarrollo de la Sociedad de la Información (MITYC),18.142.938,12.813.373,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO001,PO FSE ADAPTABILIDAD Y EMPLEO,Instituto Social de la Marina,1.616.552,1.225.267,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO001,PO FSE ADAPTABILIDAD Y EMPLEO,Fundación Escuela de Organización Industrial (EOI),11.323.961,8.552.738,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO001,PO FSE ADAPTABILIDAD Y EMPLEO,D.G. de Programas y Transferencia del Conocimiento (MICINN),18.795.083,12.258.731,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO001,PO FSE ADAPTABILIDAD Y EMPLEO,D.G. de Desarrollo Sostenible del Medio Rural (MMADRYM),7.152.677,5.508.830,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO001,PO FSE ADAPTABILIDAD Y EMPLEO,Gerencia del Sector Naval,11.849.401,8.756.132,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO001,PO FSE ADAPTABILIDAD Y EMPLEO,A.E. Consejo Superior de Investigaciones Científicas (MICINN),6.464.927,4.347.197,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO001,PO FSE ADAPTABILIDAD Y EMPLEO,D.G de la Ciudadanía Española en el Exterior. S.E. de Inmigración y Emigración (MTIN),3.291.878,2.385.451,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO001,PO FSE ADAPTABILIDAD Y EMPLEO,Fundación Biodiversidad (MMADRYM),7.173.450,5.291.606,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO001,PO FSE ADAPTABILIDAD Y EMPLEO,Consejo Superior de Cámaras de Comercio,9.807.717,7.492.709,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO001,PO FSE ADAPTABILIDAD Y EMPLEO,Fundación Instituto Cameral de Creación y Desarrollo de la Empresa (INCYDE),5.310.461,4.130.280,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO001,PO FSE ADAPTABILIDAD Y EMPLEO,Sociedad de Salvamento y Seguridad Marítima Integral Jovellanos,1.430.050,1.144.040,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO002,PO FSE LUCHA CONTRA LA DISCRIMINACION,Imserso (MEPSYD),3.038.072,2.183.138,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO002,PO FSE LUCHA CONTRA LA DISCRIMINACION,Instituto de la Mujer (MI),6.334.049,4.562.357,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO002,PO FSE LUCHA CONTRA LA DISCRIMINACION,Fundación ONCE,24.723.598,17.749.915,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO002,PO FSE LUCHA CONTRA LA DISCRIMINACION,Organismo Autónomo de Trabajo Penitenciario y Formación para el Empleo (MIR),7.219.365,5.427.823,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO002,PO FSE LUCHA CONTRA LA DISCRIMINACION,D.G. de Integración de los Inmigrantres. S.E. de Inmigración y Emigración (MTIN),23.361.562,15.980.838,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO002,PO FSE LUCHA CONTRA LA DISCRIMINACION,D.G. de Inmigración. S.E. de Inmigración y Emigración (MTIN),3.242.518,2.491.032,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO002,PO FSE LUCHA CONTRA LA DISCRIMINACION,Cáritas Española,5.499.990,3.983.559,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO002,PO FSE LUCHA CONTRA LA DISCRIMINACION,Cruz Roja Española,9.692.970,7.113.909,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO002,PO FSE LUCHA CONTRA LA DISCRIMINACION,Fundación Secretariado Gitano,6.797.251,5.106.590,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO002,PO FSE LUCHA CONTRA LA DISCRIMINACION,Fundación Luis Vives,1.119.583,803.597,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO003,PO FSE ASISTENCIA TÉCNICA,Unidad Administradora del Fondo Social Europeo,6.577.324,4.843.123,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO003,PO FSE ASISTENCIA TÉCNICA,Instituto de la Mujer (MI),637.894,469.494,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
2007ES05UPO003,PO FSE ASISTENCIA TÉCNICA,Fundación Secretariado Gitano,226.880,164.808,ESF,EUR,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
